CIRCUIT,DISTRICT,OFFICE,DOCKET,ORIGIN,FILEDATE,FDATEUSE,JURIS,NOS,TITL,SECTION,SUBSECT,RESIDENC,JURY,CLASSACT,DEMANDED,FILEJUDG,FILEMAG,COUNTY,ARBIT,MDLDOCK,PLT,DEF,TRANSDAT,TRANSOFF,TRANSDOC,TRANSORG,TERMDATE,TDATEUSE,TRCLACT,TERMJUDG,TERMMAG,PROCPROG,DISP,NOJ,AMTREC,JUDGMENT,DJOINED,PRETRIAL,TRIBEGAN,TRIALEND,TRMARB,PROSE,IFP,STATUSCD,TAPEYEAR,yr_term,yr_file,new,CASENAME,MAGISINV,OTHERINV,fjc_ID,CDD_ID,cases_tot_yr,cases_tot_typ_yr,cases_pct_tot_yr,cases_tot_yr_term,NOS_t,DISP_t,DEF_typ_old,PLT_typ_old,PLT_typ,DEF_typ
9,73,8,1501471,1,2015-09-09,2015-09-01,federal question,893,NA,6901,EN,-8,P,-8,0,NA,NA,06059,-8,-8,"3381 KATELLA AVENUE, LLC","9980 GRINDLAY PARTNERS, ET AL",09/11/2015,2,1507116,1,2017-08-30,2017-08-01,-8,NA,NA,10,14,0,0,0,02/09/2016,NA,NA,NA,-8,0,-8,L,2017,2017,2015,1,NA,NA,NA,9-73-1501471-2015-09-09-1,9-73-1501471,281925,898,0.319,278803,ENVIRONMENTAL MATTERS,Dismissed (want of pros. or lack of juris.),BIZ,BIZ,BIZ,BIZ
11,26,2,1501777,1,2015-10-13,2015-10-01,US govt defendant,893,NA,4321,-8,-8,N,-8,0,NA,NA,01073,-8,-8,"AUSTIN, ET AL","ALABAMA DEPARTMENT OF T, ET AL",NA,-8,-8,-8,2016-11-15,2016-11-01,-8,NA,NA,10,14,0,0,0,01/19/2016,NA,NA,NA,-8,0,-8,L,2017,2016,2015,1,NA,NA,NA,11-26-1501777-2015-10-13-1,11-26-1501777,281925,898,0.319,278906,ENVIRONMENTAL MATTERS,Dismissed (want of pros. or lack of juris.),FED,Unknown,FED,STA
11,3G,5,1600038,1,2016-01-25,2016-01-01,US govt defendant,893,NA,7604,CL,-8,N,-8,0,NA,NA,88888,-8,-8,PARTNERSHIP FOR POLICY INTEGRI,MCCARTHY,NA,-8,-8,-8,2016-12-21,2016-12-01,-8,NA,NA,10,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2017,2016,2016,1,NA,NA,NA,11-3G-1600038-2016-01-25-1,11-3G-1600038,294173,1832,0.623,278906,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,FED,BIZ,BIZ,FED
1,03,1,1500461,1,2015-10-30,2015-10-01,US govt defendant,893,42,9607,-8,-8,N,-8,0,NA,NA,44007,-8,-8,ELECTRIC BOAT CORPORATION,UNITED STATES OF AMERICA,NA,-8,-8,-8,2018-05-31,2018-05-01,-8,NA,NA,4,5,0,0,1,02/08/2016,NA,NA,NA,-8,0,-8,L,2018,2018,2015,1,NA,NA,NA,1-03-1500461-2015-10-30-1,1-03-1500461,281925,898,0.319,290709,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),FED,BIZ,BIZ,FED
2,06,5,1701364,1,2017-12-20,2017-12-01,US govt plaintiff,893,42,9607,-8,-8,N,-8,0,NA,NA,36067,M,-8,UNITED STATES OF AMERICA,"HONEYWELL INTERNATIONAL, ET AL",NA,-8,-8,-8,2018-03-14,2018-03-01,-8,NA,NA,2,5,0,0,1,NA,NA,NA,NA,-8,0,-8,L,2018,2018,2017,1,NA,NA,NA,2-06-1701364-2017-12-20-1,2-06-1701364,275591,1335,0.484,290709,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),Unknown,FED,FED,BIZ
5,42,1,1500497,1,2015-06-11,2015-06-01,federal question,893,33,1319,CW,-8,P,-8,0,NA,NA,48453,-8,-8,"AUSPRO ENTERPRISES, LP, ET AL",CITY OF AUSTIN,NA,-8,-8,-8,2018-03-06,2018-03-01,-8,NA,NA,8,17,0,0,1,01/10/2017,NA,NA,09/21/2017,-8,0,-8,L,2018,2018,2015,1,NA,NA,NA,5-42-1500497-2015-06-11-1,5-42-1500497,281925,898,0.319,290709,ENVIRONMENTAL MATTERS,Judgement Issued,LOC,BIZ,BIZ,LOC
6,47,1,1301516,1,2013-07-12,2013-07-01,federal question,893,42,9607,-8,-8,N,-8,9999,NA,NA,39093,-8,-8,CRS SITE RD/RA GROUP,"ACME-CLEVELAND CORP., ET AL",NA,-8,-8,-8,2019-01-02,2019-01-01,-8,NA,NA,5,14,0,0,0,10/12/2015,10/23/2013,NA,NA,-8,0,-8,L,2019,2019,2013,1,NA,NA,NA,6-47-1301516-2013-07-12-1,6-47-1301516,301459,1457,0.483,305952,ENVIRONMENTAL MATTERS,Dismissed (want of pros. or lack of juris.),BIZ,BIZ,BIZ,BIZ
9,71,3,1604469,6,2016-08-08,2016-08-01,federal question,893,42,7604,CL,-8,P,-8,0,NA,NA,88888,-8,-8,JAMES,"VOLKSWAGEN GROUP OF AME, ET AL",NA,-8,-8,-8,2018-10-19,2018-10-01,-8,NA,NA,1,12,0,0,0,NA,NA,NA,NA,-8,0,-8,L,2019,2018,2016,1,NA,NA,NA,9-71-1604469-2016-08-08-1,9-71-1604469,294173,1832,0.623,290709,ENVIRONMENTAL MATTERS,Dismissed Voluntarily,BIZ,Unknown,FED,BIZ
9,75,1,1600676,1,2016-12-28,2016-12-01,federal question,893,42,9607,-8,-8,P,-8,0,NA,NA,15003,-8,-8,"WOND FAMILY KAPALAMA, LLC","CONTINENTAL TIRE THE AMERICAS,",NA,-8,-8,-8,2018-12-21,2018-12-01,-8,NA,NA,2,13,0,0,0,06/20/2018,NA,NA,NA,-8,0,-8,L,2019,2018,2016,1,NA,NA,NA,9-75-1600676-2016-12-28-1,9-75-1600676,294173,1832,0.623,290709,ENVIRONMENTAL MATTERS,Settled,BIZ,BIZ,BIZ,BIZ
9,79,1,1700960,1,2017-06-19,2017-06-01,US govt defendant,893,33,1365,-8,-8,N,-8,0,NA,NA,41037,-8,-8,"CAHILL RANCHES, INC.","BUREAU OF LAND MANAGEME, ET AL",NA,-8,-8,-8,2019-09-25,2019-09-01,-8,NA,NA,4,6,0,0,3,NA,NA,NA,NA,-8,0,-8,L,2019,2019,2017,1,NA,NA,NA,9-79-1700960-2017-06-19-1,9-79-1700960,275591,1335,0.484,305952,ENVIRONMENTAL MATTERS,Judgement Issued,FED,BIZ,BIZ,FED
5,40,1,1900154,1,2019-03-27,2019-03-01,federal question,893,42,9607,-8,-8,P,-8,0,NA,NA,48241,-8,-8,"EPIC RENEWABLES, INC.","BRUCE'S PULP AND PAPER, ET AL",NA,-8,-8,-8,2020-01-06,2020-01-01,-8,NA,NA,10,13,0,0,0,05/17/2019,NA,NA,NA,-8,0,-8,L,2020,2020,2019,1,NA,NA,NA,5-40-1900154-2019-03-27-1,5-40-1900154,296537,539,0.182,276486,ENVIRONMENTAL MATTERS,Settled,BIZ,BIZ,BIZ,BIZ
5,41,4,2002423,1,2020-07-09,2020-07-01,US govt plaintiff,893,42,7413,-8,-8,N,-8,0,NA,NA,48201,-8,-8,"UNITED STATES OF AMERIC, ET AL",E.I. DU PONT DE NEMOURS AND CO,NA,-8,-8,-8,2020-09-22,2020-09-01,-8,NA,NA,3,5,0,0,1,NA,NA,NA,NA,-8,0,-8,L,2020,2020,2020,1,NA,NA,NA,5-41-2002423-2020-07-09-1,5-41-2002423,495317,488,0.099,276486,ENVIRONMENTAL MATTERS,Settled (Consent Judgement),FED,FED,FED,BIZ
